,Image,Accuracy,F1,Jaccard,Recall,Precision
407,0015_output-slice240,0.9948046875,0.0,0.0,0.0,0.0
408,0015_output-slice241,0.998046875,0.0,0.0,0.0,0.0
409,0015_output-slice246,0.9975390625,0.676923076923077,0.5116279069767442,0.5116279069767442,1.0
410,0015_output-slice251,0.9970703125,0.8184019370460048,0.6926229508196722,0.7100840336134454,0.9657142857142857
411,0015_output-slice253,0.9933984375,0.7296,0.5743073047858942,0.7475409836065574,0.7125
412,0015_output-slice256,0.998046875,0.9348958333333333,0.8777506112469438,0.8975,0.9755434782608695
413,0015_output-slice261,0.9976171875,0.9498767460969597,0.9045383411580594,0.9307568438003221,0.9697986577181208
414,0015_output-slice263,0.997265625,0.9513888888888888,0.9072847682119205,0.9345156889495225,0.9688826025459689
415,0015_output-slice264,0.9962890625,0.9406620861961273,0.8879716981132075,0.94125,0.9400749063670412
416,0015_output-slice267,0.9975390625,0.9681657402728651,0.9382957884427032,0.9825641025641025,0.954183266932271
417,0015_output-slice272,0.9951953125,0.9526376588371197,0.9095588235294118,0.9679186228482003,0.9378316906747536
418,0015_output-slice282,0.9806640625,0.8804058951437546,0.7863616745791973,0.9334016393442623,0.8331047096479195
419,0015_output-slice289,0.9832421875,0.9201860465116278,0.852170916609235,0.9611348620287602,0.8825838686652391
420,0015_output-slice291,0.983359375,0.9256025148445687,0.8615084525357607,0.9397163120567376,0.911906400550585
421,0015_output-slice292,0.98671875,0.9420783645655877,0.8904991948470209,0.937605968124788,0.9465936323176994
422,0015_output-slice296,0.986796875,0.9514507325481183,0.9073972602739726,0.9761273209549072,0.927991033903054
423,0015_output-slice304,0.9801171875,0.9382206578468261,0.8836305441243713,0.9733064719214304,0.9055763823805061
424,0015_output-slice310,0.9746484375,0.9282317814884441,0.8660751134956666,0.9792347176854876,0.8822787471095228
425,0015_output-slice321,0.98765625,0.9671175858480748,0.9363288333669152,0.983075946689232,0.9516690559082531
426,0015_output-slice331,0.989609375,0.9708333333333334,0.9433198380566802,0.9883902656843045,0.9538892480068951
427,0015_output-slice333,0.9880078125,0.9651966897177191,0.9327344434706398,0.9911525029103608,0.9405656208572691
428,0015_output-slice335,0.989296875,0.9673342870767764,0.936735165088894,0.9919315403422982,0.9439274080967892
429,0015_output-slice336,0.9890625,0.9654917426669953,0.933285680247796,0.9908929926637996,0.9413602499399183
430,0015_output-slice341,0.98875,0.9581151832460734,0.9195979899497487,0.9909747292418772,0.9273648648648649
431,0015_output-slice343,0.9903125,0.9615145872129113,0.9258816497310222,0.9904092071611253,0.9342581423401689
432,0015_output-slice362,0.99859375,0.9869565217391305,0.9742489270386266,0.9912663755458515,0.9826839826839827
433,0016_output-slice268,0.99984375,0.0,0.0,0.0,1.0
434,0016_output-slice282,0.9987109375,0.9020771513353116,0.8216216216216217,0.8587570621468926,0.95
435,0016_output-slice286,0.9982421875,0.9105367793240556,0.8357664233576643,0.9015748031496063,0.9196787148594378
436,0016_output-slice288,0.9975,0.8787878787878789,0.7837837837837838,0.8345323741007195,0.928
437,0016_output-slice295,0.9983203125,0.9457755359394704,0.8971291866028708,0.9422110552763819,0.9493670886075949
438,0016_output-slice298,0.9978515625,0.938132733408324,0.8834745762711864,0.9287305122494433,0.9477272727272728
439,0016_output-slice306,0.99578125,0.9138755980861243,0.8414096916299559,0.9695431472081218,0.8642533936651584
440,0016_output-slice321,0.9958984375,0.944,0.8939393939393939,0.9365079365079365,0.9516129032258065
441,0016_output-slice341,0.985625,0.8965129358830145,0.8124362895005097,0.9579326923076923,0.8424947145877378
442,0016_output-slice344,0.9867578125,0.9105304829770388,0.8357558139534884,0.964765100671141,0.8620689655172413
443,0016_output-slice347,0.984296875,0.9031791907514451,0.8234519104084321,0.9775808133472367,0.8393017009847806
444,0016_output-slice358,0.9826953125,0.912085731295892,0.8383801532287486,0.9841541755888651,0.8498520710059172
445,0016_output-slice359,0.984453125,0.9204318272690922,0.8525925925925926,0.988831615120275,0.8608825729244577
446,0016_output-slice362,0.985546875,0.9286265432098765,0.8667626935541952,0.9893136046033704,0.8749545619774627
447,0016_output-slice367,0.97203125,0.8773132282385196,0.7814407814407814,0.9945609945609946,0.7847946045370938
448,0016_output-slice371,0.9705859375,0.8776604386677498,0.7819918934568616,0.9926497611172364,0.7865463016889924
449,0016_output-slice376,0.9702734375,0.8855122611704529,0.7945464362850972,0.990909090909091,0.8003807451726951
450,0016_output-slice378,0.9728515625,0.8981386486882603,0.8151104017025804,0.9928710304601426,0.8199090179288199
451,0016_output-slice379,0.9770703125,0.9135620674422028,0.8408782867985904,0.990105330354293,0.8480043739748496
452,0016_output-slice382,0.983515625,0.9373887240356084,0.8821558223959788,0.984418822062948,0.8946474086661003
453,0016_output-slice396,0.992109375,0.9707161496085822,0.9430985915492958,0.9815303430079155,0.9601376541439632
454,0016_output-slice402,0.9884375,0.9575566389446516,0.9185694635488308,0.9786049237983587,0.937394722066255
455,0016_output-slice408,0.991796875,0.9695916594265857,0.9409780775716695,0.9884853852967228,0.9514066496163683
456,0016_output-slice417,0.9923828125,0.9714536671058409,0.9444918872758327,0.9880881477069684,0.955369997120645
457,0016_output-slice418,0.9933203125,0.9747377751514257,0.9507204610951009,0.9871334530221424,0.9626495477093668
458,0016_output-slice421,0.989375,0.958511287370348,0.9203280609256005,0.9742635658914729,0.9432602821975383
459,0016_output-slice432,0.9945703125,0.9743210788841677,0.9499279538904899,0.9781157270029673,0.9705557600294442
460,0016_output-slice434,0.9928515625,0.9640117994100296,0.9305239179954442,0.9768832204065365,0.9514751552795031
461,0016_output-slice437,0.99109375,0.9504347826086956,0.9055509527754764,0.9851284362325372,0.9181016379672406
462,0017_output-slice334,0.999453125,0.890625,0.8028169014084507,0.8260869565217391,0.9661016949152542
463,0017_output-slice339,0.9989453125,0.903225806451613,0.8235294117647058,0.9,0.9064748201438849
464,0017_output-slice365,0.9959765625,0.920585967617579,0.8528571428571429,0.9754901960784313,0.8715328467153285
465,0017_output-slice366,0.995234375,0.9110787172011662,0.8366800535475234,0.9750390015600624,0.8549931600547196
466,0017_output-slice369,0.99515625,0.9174434087882823,0.8474784747847478,0.9800853485064012,0.8623279098873592
467,0017_output-slice382,0.9949609375,0.9417080885675554,0.8898377455166524,0.9586016559337627,0.9253996447602132
468,0017_output-slice388,0.995625,0.9567233384853169,0.917037037037037,0.9589465530596437,0.9545104086353122
469,0017_output-slice400,0.9840234375,0.891194466613461,0.803742802303263,0.9893679858239811,0.8107454017424975
470,0017_output-slice401,0.9883984375,0.919967663702506,0.8517964071856288,0.9912891986062717,0.8582202111613876
471,0017_output-slice408,0.993515625,0.9584168336673347,0.9201539201539202,0.9911917098445596,0.9277400581959263
472,0017_output-slice409,0.99375,0.9604743083003953,0.9239543726235742,0.9913309535951046,0.9314805941542884
473,0017_output-slice410,0.991875,0.9500959692898272,0.9049360146252285,0.9974811083123426,0.9070087036188731
474,0017_output-slice421,0.988125,0.9366930445647647,0.8809244026635331,0.9942528735632183,0.8854330708661418
475,0017_output-slice424,0.991015625,0.9530036779730282,0.9102263856362217,0.9914965986394558,0.9173878835562549
476,0017_output-slice425,0.9939453125,0.9678889579448934,0.9377759935768768,0.9894112664125371,0.9472830494728305
477,0017_output-slice428,0.99375,0.9677289229528037,0.93747557639703,0.9900949236483698,0.9463510848126233
478,0017_output-slice436,0.982578125,0.9188205314888971,0.8498316498316498,0.9863227823368503,0.8599659284497445
479,0017_output-slice440,0.981953125,0.9184322033898304,0.8491674828599413,0.991234756097561,0.8555921052631579
480,0017_output-slice447,0.984453125,0.9342366159947125,0.8765891472868217,0.9884615384615385,0.8856516290726817
481,0017_output-slice450,0.987421875,0.9482814005782203,0.9016493585827734,0.9922689075630252,0.9080282989849278
482,0017_output-slice453,0.98890625,0.9552896725440807,0.9144062688366486,0.9950803542144966,0.9185588858613382
483,0017_output-slice455,0.9890625,0.9562499999999999,0.9161676646706587,0.9964181048518398,0.9191949534394713
484,0017_output-slice460,0.991328125,0.9660238751147843,0.9342806394316163,0.9952696310312205,0.9384478144513827
485,0017_output-slice465,0.99125,0.9660297239915073,0.9342915811088296,0.9974945192608832,0.9364892678623934
486,0017_output-slice470,0.9906640625,0.9641517924103794,0.9307848247900377,0.9972075705864102,0.9332171893147503
487,0017_output-slice475,0.9903125,0.9627627627627627,0.9281991893456861,0.9975108898568762,0.930354033662217
488,0017_output-slice476,0.990859375,0.9647377938517179,0.9318777292576419,0.997196261682243,0.9343257443082311
489,0017_output-slice482,0.9921875,0.9693533558075391,0.9405292893250075,0.9952800503461297,0.9447431302270012
490,0017_output-slice484,0.992421875,0.9699969068976183,0.9417417417417417,0.9933481152993349,0.947718343910547
491,0017_output-slice487,0.99375,0.9747952110901071,0.9508297480024586,0.99581589958159,0.9546436285097192
492,0017_output-slice501,0.973203125,0.8781960227272727,0.7828426717315606,0.9959726137736609,0.7853286757700857
493,0017_output-slice503,0.9751953125,0.8803016022620169,0.7861952861952862,0.9965855740503627,0.7883187035786631
494,0017_output-slice512,0.970390625,0.7908388520971303,0.654039251483341,1.0,0.654039251483341
495,0017_output-slice514,0.9705859375,0.7446592065106815,0.593192868719611,1.0,0.593192868719611
496,0017_output-slice526,0.9859765625,0.0,0.0,1.0,0.0
497,0018_output-slice356,0.9996484375,0.0,0.0,0.0,1.0
498,0018_output-slice363,0.998828125,0.673913043478261,0.5081967213114754,0.5081967213114754,1.0
499,0018_output-slice366,0.9991796875,0.8711656441717791,0.7717391304347826,0.797752808988764,0.9594594594594594
500,0018_output-slice368,0.9992578125,0.900523560209424,0.819047619047619,0.8269230769230769,0.9885057471264368
501,0018_output-slice369,0.999140625,0.9017857142857143,0.8211382113821138,0.8278688524590164,0.9901960784313726
502,0018_output-slice370,0.9995703125,0.9568627450980391,0.9172932330827067,0.9242424242424242,0.991869918699187
503,0018_output-slice371,0.9995703125,0.9584905660377359,0.9202898550724637,0.927007299270073,0.9921875
504,0018_output-slice376,0.9993359375,0.9541778975741241,0.9123711340206185,0.9516129032258065,0.9567567567567568
505,0018_output-slice378,0.999296875,0.9577464788732395,0.918918918918919,0.9532710280373832,0.9622641509433962
506,0018_output-slice403,0.9988671875,0.9726156751652503,0.9466911764705882,0.982824427480916,0.9626168224299065
507,0018_output-slice404,0.9991015625,0.9791477787851315,0.9591474245115453,0.9747292418772563,0.9836065573770492
508,0018_output-slice409,0.9991015625,0.9817315329626687,0.9641185647425897,0.9903846153846154,0.9732283464566929
509,0018_output-slice411,0.9966015625,0.9360764144011757,0.8798342541436464,0.978494623655914,0.8971830985915493
510,0018_output-slice421,0.998515625,0.9772455089820359,0.955503512880562,0.9807692307692307,0.9737470167064439
511,0018_output-slice426,0.997109375,0.9625126646403241,0.927734375,0.9865005192107996,0.9396636993076162
512,0018_output-slice427,0.9969921875,0.9620876415558838,0.926944971537002,0.9858728557013118,0.9394230769230769
513,0018_output-slice429,0.9970703125,0.9651324965132496,0.9326145552560647,0.9866920152091255,0.9444949954504095
514,0018_output-slice444,0.9966015625,0.9676218831410495,0.9372746935832732,0.974512743628186,0.9608277900960828
515,0018_output-slice452,0.9935546875,0.9431230610134437,0.8923679060665362,0.9667844522968198,0.9205921938088829
516,0018_output-slice463,0.9942578125,0.95296,0.9101466992665037,0.9700325732899023,0.9364779874213837
517,0018_output-slice469,0.9925390625,0.9423831070889894,0.8910439247005134,0.9588704726826274,0.9264531435349941
518,0018_output-slice480,0.9926953125,0.9494184473897755,0.903707518022657,0.9943342776203966,0.9083850931677019
519,0018_output-slice481,0.9925390625,0.9488072902707049,0.9026007139214687,0.996060776589758,0.9058341862845445
520,0018_output-slice483,0.9932421875,0.9535570469798658,0.9112365315546435,0.9932885906040269,0.9168817759421787
521,0018_output-slice487,0.993828125,0.9576180257510729,0.9186824498198661,0.9922178988326849,0.9253499222395023
522,0018_output-slice495,0.993984375,0.9586688137412775,0.9206185567010309,0.9911209766925638,0.9282744282744283
523,0018_output-slice498,0.9941796875,0.9599570008062349,0.9229974160206719,0.9889258028792912,0.9326370757180157
